x,y,z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,synthetic,key_point,withheld,scan_angle_rank,user_data,point_source_id,gps_time
829574.3927988537,5932626.4341686405,535.64,12,2,2,0,0,2,0,0,0,0,2,2101,363513251.6203674
829574.6559702145,5932626.434126849,535.66,9,2,2,0,0,2,0,0,0,0,2,2101,363513251.6135987
829575.0214756236,5932626.375400671,535.63,3,3,3,0,0,2,0,0,0,0,2,2101,363513251.6068304
829602.274314286,5932626.341669767,536.9300000000001,13,1,1,0,0,2,0,0,0,0,2,2101,363513251.3496512
829603.1954082423,5932626.312185398,536.94,13,1,1,0,0,2,0,0,0,0,2,2101,363513251.3361161
829612.8597609025,5932626.310849199,544.64,2,1,2,0,0,3,0,0,0,0,3,2101,363513251.2548977
829617.9623169837,5932626.3099250775,542.37,9,2,2,0,0,6,0,0,0,0,6,2101,363513251.2075193
829618.0208236019,5932626.324626204,543.6800000000001,4,1,2,0,0,1,0,0,0,0,1,2101,363513251.2075193
829574.9631893293,5932626.44911861,546.74,6,1,2,0,0,3,0,0,0,0,3,2101,363513251.6271365
829575.1971189675,5932626.449080515,546.73,9,1,2,0,0,3,0,0,0,0,3,2101,363513251.6135987
829574.9485707087,5932626.44912503,546.86,5,1,2,0,0,3,0,0,0,0,3,2101,363513251.6203674
829575.577244458,5932626.375689132,546.8100000000001,9,2,3,0,0,3,0,0,0,0,3,2101,363513251.6068304
829575.6357471568,5932626.375720953,548.03,6,1,3,0,0,3,0,0,0,0,3,2101,363513251.6068304
829576.4398704665,5932626.331584661,547.83,10,1,1,0,0,3,0,0,0,0,3,2101,363513251.6000622
829581.3086240967,5932626.4042879585,552.52,9,1,1,0,0,3,0,0,0,0,3,2101,363513251.5526854
829584.1596727754,5932626.4038847545,554.28,6,2,2,0,0,3,0,0,0,0,3,2101,363513251.5323833
829586.4258561624,5932626.315522435,554.44,11,1,1,0,0,3,0,0,0,0,3,2101,363513251.5120815
829584.247428152,5932626.4039351065,556.19,8,1,2,0,0,3,0,0,0,0,3,2101,363513251.5323833
829589.77398057,5932626.358970495,554.26,9,1,1,0,0,3,0,0,0,0,3,2101,363513251.4782439
829642.0570104691,5932626.320390348,537.65,8,1,1,0,0,2,0,0,0,0,2,2101,363513250.9638812
829643.8845834015,5932626.3054121565,537.58,9,1,1,0,0,2,0,0,0,0,2,2101,363513250.9503462
829667.789341052,5932626.301446116,540.97,17,1,2,0,0,1,0,0,0,0,1,2101,363513250.7134607
829640.0103255633,5932626.321145558,549.75,3,1,3,0,0,3,0,0,0,0,3,2101,363513250.9909521
829637.2324624696,5932626.32172285,552.96,5,1,1,0,0,3,0,0,0,0,3,2101,363513251.0180223
829527.5337601006,5932626.749554046,534.27,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1145839
829527.2853161597,5932627.43891969,534.25,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1145848
829527.9725308439,5932627.732144083,534.27,5,1,1,0,0,2,0,0,0,19,2,2100,363512138.1213533
829527.0076407009,5932628.186957474,534.27,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1145857
829527.6802408093,5932628.524182145,534.24,5,1,1,0,0,2,0,0,0,19,2,2100,363512138.1213542
829527.4317989363,5932629.228214138,534.21,4,1,1,0,0,2,0,0,0,19,2,2100,363512138.1213552
829527.1687359574,5932629.917585639,534.29,5,1,1,0,0,2,0,0,0,19,2,2100,363512138.1213561
829528.089840917,5932629.961439923,534.24,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1281238
829528.2502063727,5932626.984106639,534.26,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1213524
829529.1713157464,5932627.057294227,534.22,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1281201
829530.267854447,5932627.0131222885,534.19,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1348877
829531.7152517133,5932626.734231309,534.1800000000001,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1416546
829532.9872894214,5932627.012698579,534.24,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1484222
829528.9228680385,5932627.717328208,534.24,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.128121
829528.6305800327,5932628.524032172,534.19,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.128122
829530.0047946532,5932627.731823408,534.17,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1348886
829529.697888288,5932628.538534087,534.25,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1348896
829528.3675182823,5932629.228067825,534.2,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1281228
829529.4348326217,5932629.286567734,534.21,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1348905
829529.17176897,5932629.9759376,534.24,5,1,1,0,0,2,0,0,0,19,2,2100,363512138.1348914
829530.9406845837,5932628.831667413,534.15,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1416572
829530.6776270687,5932629.565035252,534.13,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1416582
829531.2037462813,5932628.127632049,534.15,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.1416564
829531.4521900996,5932627.438266578,534.1800000000001,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1416555
829532.490397449,5932628.3620965,534.1800000000001,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.148424
829532.7534575551,5932627.643396268,534.23,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.148423
829534.1132439128,5932628.083180986,534.27,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1551906
829532.1834950225,5932629.198138723,534.21,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1484249
829531.9058176463,5932629.931510268,534.23,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1484258
829533.8209523032,5932628.860553079,534.25,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1551916
829533.5432766943,5932629.608589839,534.23,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1551924
829534.6247506671,5932626.7044456145,534.27,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1551888
829535.8820897564,5932626.4842516035,534.3100000000001,8,2,2,0,0,2,0,0,0,19,2,2100,363512138.1619558
829534.3470734083,5932627.437816684,534.28,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1551898
829535.5459517651,5932627.334970996,534.52,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1619567
829535.3413556999,5932627.950990879,534.3100000000001,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1619577
829535.0636760098,5932628.669695194,534.3100000000001,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.1619585
829536.8618438648,5932627.5547677055,534.67,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.1754922
829536.1162679356,5932628.068204365,534.39,10,1,1,0,0,2,0,0,0,19,2,2100,363512138.1687252
829536.6718619345,5932628.141448188,534.34,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1754932
829534.7860024663,5932629.43239785,534.27,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1619595
829534.5375569013,5932630.107097704,534.26,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.1619604
829535.6047639187,5932629.476269081,534.27,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.168727
829535.3563185815,5932630.150969298,534.27,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1687279
829535.8678259242,5932628.772234876,534.3100000000001,10,1,1,0,0,2,0,0,0,19,2,2100,363512138.1687261
829536.4234140975,5932628.80148111,534.32,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1754941
829536.9498308338,5932629.285392492,534.26,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.1822625
829536.1457431212,5932629.57885071,534.29,8,1,1,0,0,2,0,0,0,19,2,2100,363512138.175495
829536.6721597236,5932630.06276181,534.22,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1822634
829537.2128930578,5932628.581358941,534.32,10,1,1,0,0,2,0,0,0,19,2,2100,363512138.1822616
829537.4174909638,5932627.980004831,534.51,9,1,1,0,0,2,0,0,0,19,2,2100,363512138.1822607
